Names,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Pos9,Pos10,Pos11,Pos12,Pos13,Pos14,Pos15,Pos16,Nsubs,R,lambd,Set,R_pred
6Heliceno_1-cl_5-br_6-i_8-f_9-i_11-i.log,2,0,0,0,3,4,0,1,4,0,4,0,0,0,0,0,6,326.5294,372.42,Training,376.2404628970431
6Heliceno_2-cl_6-br_9-br_11-br_15-cl.log,0,2,0,0,0,3,0,0,3,0,3,0,0,0,2,0,5,603.4085,362.9,Training,621.1470960193614
6Heliceno_2-f_6-i_7-cl_8-i_12-cl.log,0,1,0,0,0,4,2,4,0,0,0,2,0,0,0,0,5,204.7942,365.56,Training,363.7874177789516
6Heliceno_7-cl_11-i_13-br.log,0,0,0,0,0,0,2,0,0,0,4,0,3,0,0,0,3,509.9671,354.32,Training,503.348707690837
6Heliceno_1-cl_3-f_10-br.log,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,3,497.8788,352.33,Training,523.4382107809738
6Heliceno_2-br_5-br_6-br_8-i_10-br_14-cl.log,0,3,0,0,3,3,0,4,0,3,0,0,0,2,0,0,6,576.5521,361.95,Training,553.5548774618978
6Heliceno_2-cl_3-cl_5-cl_7-i_12-cl_14-cl.log,0,2,2,0,2,0,4,0,0,0,0,2,0,2,0,0,6,582.6947,360.86,Training,541.8567841536608
6Heliceno_1-cl.log,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,547.925,348.97,Training,575.1505030776417
6Heliceno_1-cl_6-br_11-br_14-br.log,2,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,4,543.6456,356.07,Training,556.4180090982983
6Heliceno_9-br_14-f.log,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,2,652.5501,344.94,Training,658.8279136035251
6Heliceno_4-f_16-cl.log,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,543.9089,348.87,Training,527.9468159136148
6Heliceno_11-f_12-i_15-i.log,0,0,0,0,0,0,0,0,0,0,1,4,0,0,4,0,3,622.7238,351.58,Training,633.2513130215835
6Heliceno_6-f_14-cl.log,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,706.2611,342.24,Training,688.8663627605002
6Heliceno_3-f_12-f.log,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,674.8682,340.44,Training,665.859414028152
6Heliceno_1-f_6-i_11-f_12-br_13-cl_15-f.log,1,0,0,0,0,4,0,0,0,0,1,3,2,0,1,0,6,382.0126,358.76,Training,315.88117911075676
6Heliceno_4-i_5-i_7-f_8-br_9-f_10-i.log,0,0,0,4,4,0,1,3,1,4,0,0,0,0,0,0,6,144.7878,371.96,Training,182.50425389438166
6Heliceno_3-i_5-i_11-br_12-br.log,0,0,4,0,4,0,0,0,0,0,3,3,0,0,0,0,4,489.8941,358.26,Training,472.7787243747255
6Heliceno_3-f_5-cl_9-cl.log,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,3,571.7979,348.76,Training,597.4136240780921
6Heliceno_2-cl_3-f_4-cl_5-cl_13-i_16-i.log,0,2,1,2,2,0,0,0,0,0,0,0,4,0,0,4,6,386.3291,370.46,Training,349.04203429970386
6Heliceno_2-i_7-cl_13-cl_14-f.log,0,4,0,0,0,0,2,0,0,0,0,0,2,1,0,0,4,605.4378,353.03,Training,618.506377935958
