Names,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Pos9,Pos10,Pos11,Pos12,Pos13,Pos14,Pos15,Pos16,Nsubs,R,lambd,Set,R_pred
6Heliceno_1-cl.log,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,547.925,348.97,Training,563.5727564488766
6Heliceno_1-cl_6-br_11-br_14-br.log,2,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,4,543.6456,356.07,Training,551.3854906535688
6Heliceno_9-br_14-f.log,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,2,652.5501,344.94,Training,629.6062552352655
6Heliceno_4-f_16-cl.log,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,543.9089,348.87,Training,628.2098593971157
6Heliceno_11-f_12-i_15-i.log,0,0,0,0,0,0,0,0,0,0,1,4,0,0,4,0,3,622.7238,351.58,Training,540.2728406965721
6Heliceno_6-f_14-cl.log,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,706.2611,342.24,Training,645.2100288032519
6Heliceno_3-f_12-f.log,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,674.8682,340.44,Training,630.794785912519
6Heliceno_9-f_11-i_16-br.log,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,3,3,512.0692,357.95,Training,611.6618343319828
6Heliceno_1-f_6-i_11-f_12-br_13-cl_15-f.log,1,0,0,0,0,4,0,0,0,0,1,3,2,0,1,0,6,382.0126,358.76,Training,324.8039284300877
6Heliceno_4-i_5-i_7-f_8-br_9-f_10-i.log,0,0,0,4,4,0,1,3,1,4,0,0,0,0,0,0,6,144.7878,371.96,Training,205.54928283308158
6Heliceno_3-i_5-i_11-br_12-br.log,0,0,4,0,4,0,0,0,0,0,3,3,0,0,0,0,4,489.8941,358.26,Training,484.355778928877
6Heliceno_3-f_5-cl_9-cl.log,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,3,571.7979,348.76,Training,556.3155841097032
6Heliceno_2-cl_3-f_4-cl_5-cl_13-i_16-i.log,0,2,1,2,2,0,0,0,0,0,0,0,4,0,0,4,6,386.3291,370.46,Training,307.81883477877994
6Heliceno_2-i_7-cl_13-cl_14-f.log,0,4,0,0,0,0,2,0,0,0,0,0,2,1,0,0,4,605.4378,353.03,Training,616.9256976086399
6Heliceno_3-i_5-br_8-i_11-f_15-cl.log,0,0,4,0,3,0,0,4,0,0,1,0,0,0,2,0,5,568.2653,360.87,Training,565.6021396543794
